parallel test: number of threads: 16; size of graph: 9840; time: 85 ms
parallel test: number of threads: 16; size of graph: 9850; time: 92 ms
parallel test: number of threads: 16; size of graph: 9860; time: 91 ms
parallel test: number of threads: 16; size of graph: 9870; time: 75 ms
parallel test: number of threads: 16; size of graph: 9880; time: 79 ms
parallel test: number of threads: 16; size of graph: 9890; time: 71 ms
parallel test: number of threads: 16; size of graph: 9900; time: 73 ms
parallel test: number of threads: 16; size of graph: 9910; time: 64 ms
parallel test: number of threads: 16; size of graph: 9920; time: 63 ms
parallel test: number of threads: 16; size of graph: 9930; time: 67 ms
parallel test: number of threads: 16; size of graph: 9940; time: 82 ms
parallel test: number of threads: 16; size of graph: 9950; time: 70 ms
parallel test: number of threads: 16; size of graph: 9960; time: 66 ms
parallel test: number of threads: 16; size of graph: 9970; time: 64 ms
parallel test: number of threads: 16; size of graph: 9980; time: 64 ms
parallel test: number of threads: 16; size of graph: 9990; time: 68 ms
parallel test: number of threads: 16; size of graph: 10000; time: 74 ms
sequential test: size of graph: 10; time: 0; ms
sequential test: size of graph: 20; time: 0; ms
sequential test: size of graph: 30; time: 0; ms
sequential test: size of graph: 40; time: 0; ms
sequential test: size of graph: 50; time: 0; ms
sequential test: size of graph: 60; time: 0; ms
sequential test: size of graph: 70; time: 0; ms
sequential test: size of graph: 80; time: 0; ms
sequential test: size of graph: 90; time: 0; ms
sequential test: size of graph: 100; time: 0; ms
sequential test: size of graph: 110; time: 0; ms
sequential test: size of graph: 120; time: 0; ms
sequential test: size of graph: 130; time: 0; ms
sequential test: size of graph: 140; time: 0; ms
sequential test: size of graph: 150; time: 0; ms
sequential test: size of graph: 160; time: 0; ms
sequential test: size of graph: 170; time: 0; ms
sequential test: size of graph: 180; time: 1; ms
sequential test: size of graph: 190; time: 0; ms
sequential test: size of graph: 200; time: 0; ms
sequential test: size of graph: 210; time: 0; ms
sequential test: size of graph: 220; time: 0; ms
sequential test: size of graph: 230; time: 0; ms
sequential test: size of graph: 240; time: 0; ms
sequential test: size of graph: 250; time: 0; ms
sequential test: size of graph: 260; time: 0; ms
sequential test: size of graph: 270; time: 0; ms
sequential test: size of graph: 280; time: 1; ms
sequential test: size of graph: 290; time: 0; ms
sequential test: size of graph: 300; time: 0; ms
sequential test: size of graph: 310; time: 0; ms
sequential test: size of graph: 320; time: 0; ms
sequential test: size of graph: 330; time: 0; ms
sequential test: size of graph: 340; time: 1; ms
sequential test: size of graph: 350; time: 0; ms
sequential test: size of graph: 360; time: 0; ms
sequential test: size of graph: 370; time: 0; ms
sequential test: size of graph: 380; time: 1; ms
sequential test: size of graph: 390; time: 0; ms
sequential test: size of graph: 400; time: 0; ms
sequential test: size of graph: 410; time: 0; ms
sequential test: size of graph: 420; time: 0; ms
sequential test: size of graph: 430; time: 0; ms
sequential test: size of graph: 440; time: 1; ms
sequential test: size of graph: 450; time: 0; ms
sequential test: size of graph: 460; time: 0; ms
sequential test: size of graph: 470; time: 0; ms
sequential test: size of graph: 480; time: 0; ms
sequential test: size of graph: 490; time: 0; ms
sequential test: size of graph: 500; time: 1; ms
sequential test: size of graph: 510; time: 0; ms
sequential test: size of graph: 520; time: 0; ms
sequential test: size of graph: 530; time: 0; ms
sequential test: size of graph: 540; time: 0; ms
sequential test: size of graph: 550; time: 1; ms
sequential test: size of graph: 560; time: 0; ms
sequential test: size of graph: 570; time: 0; ms
sequential test: size of graph: 580; time: 0; ms
sequential test: size of graph: 590; time: 0; ms
sequential test: size of graph: 600; time: 1; ms
sequential test: size of graph: 610; time: 0; ms
sequential test: size of graph: 620; time: 0; ms
sequential test: size of graph: 630; time: 0; ms
sequential test: size of graph: 640; time: 1; ms
sequential test: size of graph: 650; time: 0; ms
sequential test: size of graph: 660; time: 0; ms
sequential test: size of graph: 670; time: 0; ms
sequential test: size of graph: 680; time: 1; ms
sequential test: size of graph: 690; time: 0; ms
sequential test: size of graph: 700; time: 0; ms
sequential test: size of graph: 710; time: 0; ms
sequential test: size of graph: 720; time: 1; ms
sequential test: size of graph: 730; time: 0; ms
sequential test: size of graph: 740; time: 0; ms
sequential test: size of graph: 750; time: 1; ms
sequential test: size of graph: 760; time: 0; ms
sequential test: size of graph: 770; time: 1; ms
sequential test: size of graph: 780; time: 0; ms
sequential test: size of graph: 790; time: 0; ms
sequential test: size of graph: 800; time: 1; ms
sequential test: size of graph: 810; time: 0; ms
sequential test: size of graph: 820; time: 1; ms
sequential test: size of graph: 830; time: 0; ms
sequential test: size of graph: 840; time: 0; ms
sequential test: size of graph: 850; time: 1; ms
sequential test: size of graph: 860; time: 0; ms
sequential test: size of graph: 870; time: 1; ms
sequential test: size of graph: 880; time: 0; ms
sequential test: size of graph: 890; time: 0; ms
sequential test: size of graph: 900; time: 1; ms
sequential test: size of graph: 910; time: 0; ms
sequential test: size of graph: 920; time: 1; ms
sequential test: size of graph: 930; time: 0; ms
sequential test: size of graph: 940; time: 1; ms
sequential test: size of graph: 950; time: 0; ms
sequential test: size of graph: 960; time: 1; ms
sequential test: size of graph: 970; time: 0; ms
sequential test: size of graph: 980; time: 1; ms
sequential test: size of graph: 990; time: 0; ms
sequential test: size of graph: 1000; time: 1; ms
sequential test: size of graph: 1010; time: 0; ms
sequential test: size of graph: 1020; time: 1; ms
sequential test: size of graph: 1030; time: 0; ms
sequential test: size of graph: 1040; time: 1; ms
sequential test: size of graph: 1050; time: 0; ms
sequential test: size of graph: 1060; time: 1; ms
sequential test: size of graph: 1070; time: 0; ms
sequential test: size of graph: 1080; time: 1; ms
sequential test: size of graph: 1090; time: 1; ms
sequential test: size of graph: 1100; time: 0; ms
sequential test: size of graph: 1110; time: 1; ms
sequential test: size of graph: 1120; time: 1; ms
sequential test: size of graph: 1130; time: 0; ms
sequential test: size of graph: 1140; time: 1; ms
sequential test: size of graph: 1150; time: 1; ms
sequential test: size of graph: 1160; time: 0; ms
sequential test: size of graph: 1170; time: 1; ms
sequential test: size of graph: 1180; time: 1; ms
sequential test: size of graph: 1190; time: 0; ms
sequential test: size of graph: 1200; time: 1; ms
sequential test: size of graph: 1210; time: 1; ms
sequential test: size of graph: 1220; time: 1; ms
sequential test: size of graph: 1230; time: 1; ms
sequential test: size of graph: 1240; time: 0; ms
sequential test: size of graph: 1250; time: 0; ms
sequential test: size of graph: 1260; time: 1; ms
sequential test: size of graph: 1270; time: 1; ms
sequential test: size of graph: 1280; time: 1; ms
sequential test: size of graph: 1290; time: 1; ms
sequential test: size of graph: 1300; time: 1; ms
sequential test: size of graph: 1310; time: 1; ms
sequential test: size of graph: 1320; time: 1; ms
sequential test: size of graph: 1330; time: 0; ms
sequential test: size of graph: 1340; time: 1; ms
sequential test: size of graph: 1350; time: 1; ms
sequential test: size of graph: 1360; time: 1; ms
sequential test: size of graph: 1370; time: 1; ms
sequential test: size of graph: 1380; time: 1; ms
sequential test: size of graph: 1390; time: 1; ms
sequential test: size of graph: 1400; time: 1; ms
sequential test: size of graph: 1410; time: 1; ms
sequential test: size of graph: 1420; time: 1; ms
sequential test: size of graph: 1430; time: 1; ms
sequential test: size of graph: 1440; time: 1; ms
sequential test: size of graph: 1450; time: 1; ms
sequential test: size of graph: 1460; time: 1; ms
sequential test: size of graph: 1470; time: 1; ms
sequential test: size of graph: 1480; time: 1; ms
sequential test: size of graph: 1490; time: 1; ms
sequential test: size of graph: 1500; time: 1; ms
sequential test: size of graph: 1510; time: 1; ms
sequential test: size of graph: 1520; time: 1; ms
sequential test: size of graph: 1530; time: 1; ms
sequential test: size of graph: 1540; time: 2; ms
sequential test: size of graph: 1550; time: 1; ms
sequential test: size of graph: 1560; time: 1; ms
sequential test: size of graph: 1570; time: 2; ms
sequential test: size of graph: 1580; time: 1; ms
sequential test: size of graph: 1590; time: 2; ms
sequential test: size of graph: 1600; time: 1; ms
sequential test: size of graph: 1610; time: 2; ms
sequential test: size of graph: 1620; time: 2; ms
sequential test: size of graph: 1630; time: 2; ms
sequential test: size of graph: 1640; time: 2; ms
sequential test: size of graph: 1650; time: 2; ms
sequential test: size of graph: 1660; time: 1; ms
sequential test: size of graph: 1670; time: 2; ms
sequential test: size of graph: 1680; time: 2; ms
sequential test: size of graph: 1690; time: 2; ms
sequential test: size of graph: 1700; time: 1; ms
sequential test: size of graph: 1710; time: 2; ms
sequential test: size of graph: 1720; time: 2; ms
sequential test: size of graph: 1730; time: 2; ms
sequential test: size of graph: 1740; time: 1; ms
sequential test: size of graph: 1750; time: 2; ms
sequential test: size of graph: 1760; time: 2; ms
sequential test: size of graph: 1770; time: 2; ms
sequential test: size of graph: 1780; time: 2; ms
sequential test: size of graph: 1790; time: 2; ms
sequential test: size of graph: 1800; time: 2; ms
sequential test: size of graph: 1810; time: 2; ms
sequential test: size of graph: 1820; time: 2; ms
sequential test: size of graph: 1830; time: 2; ms
sequential test: size of graph: 1840; time: 2; ms
sequential test: size of graph: 1850; time: 2; ms
sequential test: size of graph: 1860; time: 3; ms
sequential test: size of graph: 1870; time: 2; ms
sequential test: size of graph: 1880; time: 2; ms
sequential test: size of graph: 1890; time: 2; ms
sequential test: size of graph: 1900; time: 2; ms
sequential test: size of graph: 1910; time: 2; ms
sequential test: size of graph: 1920; time: 2; ms
sequential test: size of graph: 1930; time: 3; ms
sequential test: size of graph: 1940; time: 2; ms
sequential test: size of graph: 1950; time: 2; ms
sequential test: size of graph: 1960; time: 3; ms
sequential test: size of graph: 1970; time: 2; ms
sequential test: size of graph: 1980; time: 2; ms
sequential test: size of graph: 1990; time: 3; ms
sequential test: size of graph: 2000; time: 2; ms
sequential test: size of graph: 2010; time: 2; ms
sequential test: size of graph: 2020; time: 3; ms
sequential test: size of graph: 2030; time: 3; ms
sequential test: size of graph: 2040; time: 2; ms
sequential test: size of graph: 2050; time: 3; ms
sequential test: size of graph: 2060; time: 2; ms
sequential test: size of graph: 2070; time: 3; ms
sequential test: size of graph: 2080; time: 2; ms
sequential test: size of graph: 2090; time: 3; ms
sequential test: size of graph: 2100; time: 3; ms
sequential test: size of graph: 2110; time: 2; ms
sequential test: size of graph: 2120; time: 3; ms
sequential test: size of graph: 2130; time: 3; ms
sequential test: size of graph: 2140; time: 3; ms
sequential test: size of graph: 2150; time: 2; ms
sequential test: size of graph: 2160; time: 3; ms
sequential test: size of graph: 2170; time: 3; ms
